Suburb,Suburb Latitude,Suburb Longitude,Venue Category
BARANGAROO,-33.86051951,151.2015802,Hotel
BARANGAROO,-33.86051951,151.2015802,Pub
BARANGAROO,-33.86051951,151.2015802,Brewery
BARANGAROO,-33.86051951,151.2015802,Seafood Restaurant
BARANGAROO,-33.86051951,151.2015802,Planetarium
BARANGAROO,-33.86051951,151.2015802,Park
BARANGAROO,-33.86051951,151.2015802,Park
BARANGAROO,-33.86051951,151.2015802,Café
BARANGAROO,-33.86051951,151.2015802,Lounge
BARANGAROO,-33.86051951,151.2015802,Coffee Shop
BARANGAROO,-33.86051951,151.2015802,Bakery
BARANGAROO,-33.86051951,151.2015802,Modern European Restaurant
BARANGAROO,-33.86051951,151.2015802,Hotel
BARANGAROO,-33.86051951,151.2015802,Pub
BARANGAROO,-33.86051951,151.2015802,Hotel Bar
BARANGAROO,-33.86051951,151.2015802,Hostel
BARANGAROO,-33.86051951,151.2015802,Performing Arts Venue
BARANGAROO,-33.86051951,151.2015802,Donut Shop
BARANGAROO,-33.86051951,151.2015802,Theater
BARANGAROO,-33.86051951,151.2015802,Café
BARANGAROO,-33.86051951,151.2015802,Australian Restaurant
BARANGAROO,-33.86051951,151.2015802,Seafood Restaurant
BARANGAROO,-33.86051951,151.2015802,Food Court
BARANGAROO,-33.86051951,151.2015802,Bar
BARANGAROO,-33.86051951,151.2015802,Scenic Lookout
BARANGAROO,-33.86051951,151.2015802,Restaurant
BARANGAROO,-33.86051951,151.2015802,Turkish Restaurant
BARANGAROO,-33.86051951,151.2015802,Café
BARANGAROO,-33.86051951,151.2015802,Seafood Restaurant
BARANGAROO,-33.86051951,151.2015802,Lebanese Restaurant
BARANGAROO,-33.86051951,151.2015802,Café
BARANGAROO,-33.86051951,151.2015802,Italian Restaurant
BARANGAROO,-33.86051951,151.2015802,Café
BARANGAROO,-33.86051951,151.2015802,Gym / Fitness Center
BARANGAROO,-33.86051951,151.2015802,Indian Restaurant
BARANGAROO,-33.86051951,151.2015802,Boat or Ferry
BARANGAROO,-33.86051951,151.2015802,Nature Preserve
BARANGAROO,-33.86051951,151.2015802,Harbor / Marina
DAWES POINT,-33.856,151.207,Tour Provider
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Hotel
DAWES POINT,-33.856,151.207,Performing Arts Venue
DAWES POINT,-33.856,151.207,Theater
DAWES POINT,-33.856,151.207,Australian Restaurant
DAWES POINT,-33.856,151.207,Scenic Lookout
DAWES POINT,-33.856,151.207,Burger Joint
DAWES POINT,-33.856,151.207,Asian Restaurant
DAWES POINT,-33.856,151.207,Scenic Lookout
DAWES POINT,-33.856,151.207,Hotel Bar
DAWES POINT,-33.856,151.207,Pub
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Harbor / Marina
DAWES POINT,-33.856,151.207,Australian Restaurant
DAWES POINT,-33.856,151.207,Park
DAWES POINT,-33.856,151.207,Japanese Restaurant
DAWES POINT,-33.856,151.207,Brewery
DAWES POINT,-33.856,151.207,Australian Restaurant
DAWES POINT,-33.856,151.207,Brewery
DAWES POINT,-33.856,151.207,Pool
DAWES POINT,-33.856,151.207,Pub
DAWES POINT,-33.856,151.207,Italian Restaurant
DAWES POINT,-33.856,151.207,Bakery
DAWES POINT,-33.856,151.207,Flea Market
DAWES POINT,-33.856,151.207,Italian Restaurant
DAWES POINT,-33.856,151.207,Coffee Shop
DAWES POINT,-33.856,151.207,Pub
DAWES POINT,-33.856,151.207,Japanese Restaurant
DAWES POINT,-33.856,151.207,Hostel
DAWES POINT,-33.856,151.207,Australian Restaurant
DAWES POINT,-33.856,151.207,Seafood Restaurant
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Planetarium
DAWES POINT,-33.856,151.207,Pub
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Art Museum
DAWES POINT,-33.856,151.207,Lebanese Restaurant
DAWES POINT,-33.856,151.207,Grocery Store
DAWES POINT,-33.856,151.207,Hotel
DAWES POINT,-33.856,151.207,Museum
DAWES POINT,-33.856,151.207,Australian Restaurant
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Dessert Shop
DAWES POINT,-33.856,151.207,Brewery
DAWES POINT,-33.856,151.207,Speakeasy
DAWES POINT,-33.856,151.207,Lounge
DAWES POINT,-33.856,151.207,Diner
DAWES POINT,-33.856,151.207,Gym / Fitness Center
DAWES POINT,-33.856,151.207,History Museum
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Hotel
DAWES POINT,-33.856,151.207,Coffee Shop
DAWES POINT,-33.856,151.207,Museum
DAWES POINT,-33.856,151.207,Chinese Restaurant
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Hotel Bar
DAWES POINT,-33.856,151.207,Plaza
DAWES POINT,-33.856,151.207,Restaurant
DAWES POINT,-33.856,151.207,Bar
DAWES POINT,-33.856,151.207,Cocktail Bar
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Seafood Restaurant
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Harbor / Marina
DAWES POINT,-33.856,151.207,Pier
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Café
DAWES POINT,-33.856,151.207,Bus Station
DAWES POINT,-33.856,151.207,Pub
DAWES POINT,-33.856,151.207,Boat or Ferry
DAWES POINT,-33.856,151.207,Arcade
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Malay Restaurant
HAYMARKET,-33.8809,151.2029,Hostel
HAYMARKET,-33.8809,151.2029,Korean Restaurant
HAYMARKET,-33.8809,151.2029,Ice Cream Shop
HAYMARKET,-33.8809,151.2029,Japanese Restaurant
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Ice Cream Shop
HAYMARKET,-33.8809,151.2029,Theater
HAYMARKET,-33.8809,151.2029,Chinese Restaurant
HAYMARKET,-33.8809,151.2029,Discount Store
HAYMARKET,-33.8809,151.2029,Noodle House
HAYMARKET,-33.8809,151.2029,Vietnamese Restaurant
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Café
HAYMARKET,-33.8809,151.2029,Coffee Shop
HAYMARKET,-33.8809,151.2029,Coffee Shop
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Café
HAYMARKET,-33.8809,151.2029,Bookstore
HAYMARKET,-33.8809,151.2029,Szechuan Restaurant
HAYMARKET,-33.8809,151.2029,Park
HAYMARKET,-33.8809,151.2029,Museum
HAYMARKET,-33.8809,151.2029,Hotpot Restaurant
HAYMARKET,-33.8809,151.2029,Massage Studio
HAYMARKET,-33.8809,151.2029,Hostel
HAYMARKET,-33.8809,151.2029,Pastry Shop
HAYMARKET,-33.8809,151.2029,Hotel
HAYMARKET,-33.8809,151.2029,Bar
HAYMARKET,-33.8809,151.2029,Lounge
HAYMARKET,-33.8809,151.2029,Bakery
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Seafood Restaurant
HAYMARKET,-33.8809,151.2029,Dessert Shop
HAYMARKET,-33.8809,151.2029,Indonesian Restaurant
HAYMARKET,-33.8809,151.2029,Cocktail Bar
HAYMARKET,-33.8809,151.2029,Malay Restaurant
HAYMARKET,-33.8809,151.2029,Japanese Restaurant
HAYMARKET,-33.8809,151.2029,Japanese Restaurant
HAYMARKET,-33.8809,151.2029,Coffee Shop
HAYMARKET,-33.8809,151.2029,Hostel
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Garden
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Sandwich Place
HAYMARKET,-33.8809,151.2029,Sushi Restaurant
HAYMARKET,-33.8809,151.2029,Street Food Gathering
HAYMARKET,-33.8809,151.2029,Bakery
HAYMARKET,-33.8809,151.2029,Ice Cream Shop
HAYMARKET,-33.8809,151.2029,Dumpling Restaurant
HAYMARKET,-33.8809,151.2029,Australian Restaurant
HAYMARKET,-33.8809,151.2029,Chinese Restaurant
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Australian Restaurant
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Thai Restaurant
HAYMARKET,-33.8809,151.2029,Shopping Mall
HAYMARKET,-33.8809,151.2029,Café
HAYMARKET,-33.8809,151.2029,Hotel
HAYMARKET,-33.8809,151.2029,BBQ Joint
HAYMARKET,-33.8809,151.2029,Coffee Shop
HAYMARKET,-33.8809,151.2029,Chinese Restaurant
HAYMARKET,-33.8809,151.2029,Café
HAYMARKET,-33.8809,151.2029,Korean Restaurant
HAYMARKET,-33.8809,151.2029,Café
HAYMARKET,-33.8809,151.2029,Shaanxi Restaurant
HAYMARKET,-33.8809,151.2029,Hotpot Restaurant
HAYMARKET,-33.8809,151.2029,Italian Restaurant
HAYMARKET,-33.8809,151.2029,Spa
HAYMARKET,-33.8809,151.2029,Chinese Restaurant
HAYMARKET,-33.8809,151.2029,Chinese Restaurant
HAYMARKET,-33.8809,151.2029,Chinese Restaurant
HAYMARKET,-33.8809,151.2029,Dumpling Restaurant
HAYMARKET,-33.8809,151.2029,Electronics Store
MILLERS POINT,-33.8608,151.2028,Hotel
MILLERS POINT,-33.8608,151.2028,Planetarium
MILLERS POINT,-33.8608,151.2028,Park
MILLERS POINT,-33.8608,151.2028,Brewery
MILLERS POINT,-33.8608,151.2028,Seafood Restaurant
MILLERS POINT,-33.8608,151.2028,Pub
MILLERS POINT,-33.8608,151.2028,Coffee Shop
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Hotel
MILLERS POINT,-33.8608,151.2028,Pub
MILLERS POINT,-33.8608,151.2028,Hotel Bar
MILLERS POINT,-33.8608,151.2028,Hostel
MILLERS POINT,-33.8608,151.2028,Bakery
MILLERS POINT,-33.8608,151.2028,Park
MILLERS POINT,-33.8608,151.2028,Scenic Lookout
MILLERS POINT,-33.8608,151.2028,Restaurant
MILLERS POINT,-33.8608,151.2028,Lounge
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Modern European Restaurant
MILLERS POINT,-33.8608,151.2028,Performing Arts Venue
MILLERS POINT,-33.8608,151.2028,Pub
MILLERS POINT,-33.8608,151.2028,Theater
MILLERS POINT,-33.8608,151.2028,Donut Shop
MILLERS POINT,-33.8608,151.2028,Pub
MILLERS POINT,-33.8608,151.2028,Bar
MILLERS POINT,-33.8608,151.2028,Australian Restaurant
MILLERS POINT,-33.8608,151.2028,Food Court
MILLERS POINT,-33.8608,151.2028,Seafood Restaurant
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Turkish Restaurant
MILLERS POINT,-33.8608,151.2028,Italian Restaurant
MILLERS POINT,-33.8608,151.2028,Seafood Restaurant
MILLERS POINT,-33.8608,151.2028,Hotel
MILLERS POINT,-33.8608,151.2028,Coffee Shop
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Hotel
MILLERS POINT,-33.8608,151.2028,Gym / Fitness Center
MILLERS POINT,-33.8608,151.2028,Lebanese Restaurant
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Italian Restaurant
MILLERS POINT,-33.8608,151.2028,Pub
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Coffee Shop
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Indian Restaurant
MILLERS POINT,-33.8608,151.2028,Café
MILLERS POINT,-33.8608,151.2028,Plaza
MILLERS POINT,-33.8608,151.2028,Boat or Ferry
MILLERS POINT,-33.8608,151.2028,Harbor / Marina
SYDNEY,-33.859953000000004,151.256649,Harbor / Marina
SYDNEY,-33.859953000000004,151.256649,Harbor / Marina
THE ROCKS,-33.8599,151.209,Hostel
THE ROCKS,-33.8599,151.209,Pub
THE ROCKS,-33.8599,151.209,Art Museum
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Bakery
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Flea Market
THE ROCKS,-33.8599,151.209,Burger Joint
THE ROCKS,-33.8599,151.209,Japanese Restaurant
THE ROCKS,-33.8599,151.209,Thai Restaurant
THE ROCKS,-33.8599,151.209,Pub
THE ROCKS,-33.8599,151.209,Japanese Restaurant
THE ROCKS,-33.8599,151.209,Cocktail Bar
THE ROCKS,-33.8599,151.209,Ice Cream Shop
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Tour Provider
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Food Court
THE ROCKS,-33.8599,151.209,Plaza
THE ROCKS,-33.8599,151.209,Australian Restaurant
THE ROCKS,-33.8599,151.209,Scenic Lookout
THE ROCKS,-33.8599,151.209,Hotel Bar
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Australian Restaurant
THE ROCKS,-33.8599,151.209,Australian Restaurant
THE ROCKS,-33.8599,151.209,Cocktail Bar
THE ROCKS,-33.8599,151.209,Australian Restaurant
THE ROCKS,-33.8599,151.209,Creperie
THE ROCKS,-33.8599,151.209,Pub
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Bistro
THE ROCKS,-33.8599,151.209,Steakhouse
THE ROCKS,-33.8599,151.209,Brewery
THE ROCKS,-33.8599,151.209,Park
THE ROCKS,-33.8599,151.209,Restaurant
THE ROCKS,-33.8599,151.209,Wine Bar
THE ROCKS,-33.8599,151.209,History Museum
THE ROCKS,-33.8599,151.209,Museum
THE ROCKS,-33.8599,151.209,Pub
THE ROCKS,-33.8599,151.209,Coffee Shop
THE ROCKS,-33.8599,151.209,Hotel Bar
THE ROCKS,-33.8599,151.209,Coffee Shop
THE ROCKS,-33.8599,151.209,Trail
THE ROCKS,-33.8599,151.209,Scenic Lookout
THE ROCKS,-33.8599,151.209,Tapas Restaurant
THE ROCKS,-33.8599,151.209,Brewery
THE ROCKS,-33.8599,151.209,Italian Restaurant
THE ROCKS,-33.8599,151.209,Gym / Fitness Center
THE ROCKS,-33.8599,151.209,Australian Restaurant
THE ROCKS,-33.8599,151.209,Speakeasy
THE ROCKS,-33.8599,151.209,Australian Restaurant
THE ROCKS,-33.8599,151.209,Planetarium
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Indian Restaurant
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Dessert Shop
THE ROCKS,-33.8599,151.209,Middle Eastern Restaurant
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Ice Cream Shop
THE ROCKS,-33.8599,151.209,Park
THE ROCKS,-33.8599,151.209,Chinese Restaurant
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Speakeasy
THE ROCKS,-33.8599,151.209,Cocktail Bar
THE ROCKS,-33.8599,151.209,Performing Arts Venue
THE ROCKS,-33.8599,151.209,Hotel Bar
THE ROCKS,-33.8599,151.209,Bakery
THE ROCKS,-33.8599,151.209,Theater
THE ROCKS,-33.8599,151.209,Sandwich Place
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Hotel Bar
THE ROCKS,-33.8599,151.209,Asian Restaurant
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Jazz Club
THE ROCKS,-33.8599,151.209,Indie Movie Theater
THE ROCKS,-33.8599,151.209,Sushi Restaurant
THE ROCKS,-33.8599,151.209,Mexican Restaurant
THE ROCKS,-33.8599,151.209,Pub
THE ROCKS,-33.8599,151.209,Park
THE ROCKS,-33.8599,151.209,Burger Joint
THE ROCKS,-33.8599,151.209,Sandwich Place
THE ROCKS,-33.8599,151.209,Australian Restaurant
THE ROCKS,-33.8599,151.209,Italian Restaurant
THE ROCKS,-33.8599,151.209,Steakhouse
THE ROCKS,-33.8599,151.209,Hotel
THE ROCKS,-33.8599,151.209,Steakhouse
THE ROCKS,-33.8599,151.209,Museum
THE ROCKS,-33.8599,151.209,Pool
THE ROCKS,-33.8599,151.209,Chinese Restaurant
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Café
THE ROCKS,-33.8599,151.209,Diner
THE ROCKS,-33.8599,151.209,Italian Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Australian Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Music Venue
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Thai Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Beer Bar
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,History Museum
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Coffee Shop
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,College Rec Center
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Thai Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Grocery Store
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Public Art
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Sports Bar
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Lebanese Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Thai Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Vegetarian / Vegan Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Thai Restaurant
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Convenience Store
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Beer Garden
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Pizza Place
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Food & Drink Shop
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Café
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Grocery Store
THE UNIVERSITY OF SYDNEY,-33.889219,151.186507,Middle Eastern Restaurant
